기관명,연도,기관장 연봉(천원),상임감사 연봉(천원),상임이사 연봉(천원),기관장 업무추진비(천원)
한국산업은행,2021,382000,309420,290320,36577
한국산업은행,2022,388616,314778,295348,35345
한국산업은행,2023,390831,316573,297031,33795
한국산업은행,2024,394125,319241,299535,36281
한국산업은행,2025,406465,329236,308913,35728
중소기업은행,2021,389000,315090,295640,41879
중소기업은행,2022,396128,320863,301057,38849
중소기업은행,2023,398194,322537,302627,38733
중소기업은행,2024,404220,327418,307207,40099
중소기업은행,2025,411281,333137,312573,39164
한국전력공사,2021,221000,179010,167960,17351
한국전력공사,2022,223855,181322,170129,17759
한국전력공사,2023,227435,184222,172850,18513
한국전력공사,2024,228953,185451,174004,18025
한국전력공사,2025,235076,190411,178657,17183
인천국제공항공사,2021,235000,190350,178600,18857
인천국제공항공사,2022,237502,192376,180501,20375
인천국제공항공사,2023,244238,197832,185620,20101
인천국제공항공사,2024,244197,197799,185589,18715
인천국제공항공사,2025,250831,203173,190631,19383
한국수자원공사,2021,215000,174150,163400,14992
한국수자원공사,2022,217223,175950,165089,15613
한국수자원공사,2023,220412,178533,167513,15243
한국수자원공사,2024,223460,181002,169829,15030
한국수자원공사,2025,228301,184923,173508,14527
한국도로공사,2021,218000,176580,165680,16440
한국도로공사,2022,222228,180004,168893,16631
한국도로공사,2023,224966,182222,170974,16674
한국도로공사,2024,225118,182345,171089,15513
한국도로공사,2025,227114,183962,172606,15720
한국토지주택공사,2021,228000,184680,173280,17099
한국토지주택공사,2022,232169,188056,176448,17249
한국토지주택공사,2023,233841,189411,177719,17574
한국토지주택공사,2024,235803,191000,179210,18028
한국토지주택공사,2025,237799,192617,180727,18352
국민건강보험공단,2021,185000,149850,140600,11638
국민건강보험공단,2022,186860,151356,142013,12378
국민건강보험공단,2023,191315,154965,145399,12274
국민건강보험공단,2024,194830,157812,148070,11488
국민건강보험공단,2025,195052,157992,148239,11539
한국철도공사,2021,195000,157950,148200,11641
한국철도공사,2022,197595,160051,150172,10998
한국철도공사,2023,200112,162090,152085,11298
한국철도공사,2024,205118,166145,155889,11658
한국철도공사,2025,209720,169873,159387,11468
한국가스공사,2021,225000,182250,171000,16851
한국가스공사,2022,228961,185458,174010,16601
한국가스공사,2023,232969,188704,177056,16489
한국가스공사,2024,235278,190575,178811,16380
한국가스공사,2025,234228,189724,178013,15853
